input_store_id,1,2,3,4,5,6,7,8,9,10
396,448,18014,2600,240,6139,7213,7768,4814,11795,18357
399,666,6033,14042,91,13734,8003,4093,783,3520,2235
400,2707,2214,11425,6567,5197,829,2826,2453,201,15295
402,4088,3045,8172,9641,8080,9246,14931,11005,9961,3956
404,3765,18340,13567,7625,783,5885,754,13734,1776,3240
405,9659,10521,11196,14722,10048,17930,1358,3712,2522,15021
409,13842,15595,5042,9582,14764,15671,14274,16656,11444,5454
411,14925,8460,11398,173,3006,14336,6019,9641,10470,3490
414,14719,6821,17588,93,14959,8791,956,15550,1469,113
415,3507,8132,1469,16182,3797,10164,9657,16360,4358,921
417,902,14684,6209,11323,16724,2517,11357,3755,4964,503
418,16369,11925,10455,18319,4706,9556,253,12194,7926,2050
419,961,15604,18036,356,954,12181,3443,2696,5669,11869
427,7951,17472,1938,1863,8292,353,1529,4033,15545,6400
428,4226,16500,14362,1737,4375,10290,6514,12120,6896,5470
429,8171,9992,4007,2727,2270,13086,686,725,4906,1769
430,6567,5089,10014,15282,505,1608,3991,13876,14732,8255
431,3430,13035,1839,15699,4018,10283,15505,16401,8445,1590
434,10366,3559,8832,14311,3052,15550,9424,206,136,8050
435,1513,13853,13381,7926,11016,84,14138,2050,6327,8758
438,17929,13227,10718,9403,6081,13638,15124,8248,13774,1802
439,4665,6965,4663,11451,9744,6804,6791,4337,1991,2233
441,16715,17663,17373,17503,174,356,14811,1641,15698,8026
442,4112,14415,16569,2152,5593,1444,3806,14388,532,7328
443,2331,14060,4944,10656,1697,3081,11495,16101,5578,5000
445,16034,7896,5623,9971,1339,1770,13701,3614,7526,13306
448,8186,146,396,504,12119,2065,1143,3957,18116,5585
449,2857,3096,173,4992,13086,2727,8171,8547,11025,3490
450,13026,1479,6804,14826,10084,18090,11304,4922,8993,13927
452,113,14719,2212,4912,329,3353,14020,10033,414,1565
454,1769,5439,3167,18074,1943,3845,11662,8723,2505,3726
455,15598,5382,1083,2516,7006,4266,8817,7879,16876,6573
456,1787,10033,7185,4009,12024,8273,5394,15423,16699,756
457,3121,2050,6327,84,11685,435,309,13381,14138,7926
458,4287,13117,10517,4307,16640,10461,13591,15065,6184,7134
459,2726,307,3319,4846,18335,10824,11219,10795,9567,686
461,989,9531,694,4739,2561,7429,13853,8758,2050,11016
463,10507,16370,1865,11933,154,6367,309,10703,7036,3631
464,4600,15300,17724,11340,8813,2582,10639,10788,15315,4346
465,3137,8964,16259,9234,9552,9232,17902,6565,7366,11036
469,5493,7076,8624,14173,13381,4799,6000,14241,15011,17679
470,388,10508,10788,201,10490,2281,2331,736,1512,2326
471,4464,8091,70,15411,13419,13996,8563,14539,2583,5252
473,5154,8893,7368,10967,5855,15477,17736,8894,5717,15924
479,3565,4831,1519,11100,5371,1943,14028,3194,9040,1798
480,4889,9992,8832,16300,10999,5885,11372,15689,8050,14042
481,3064,7634,18230,9519,5187,1417,907,15112,801,2340
489,9833,5709,4175,17771,16516,1212,13872,6703,5669,17663
492,10268,11403,13045,5523,11201,9310,16748,5377,4162,174
496,1457,5111,10310,3990,8078,11304,15980,7100,11435,1125
497,2193,1751,10980,14311,14848,6915,7455,3815,2864,13171
498,7019,11892,15637,9199,11144,8813,15123,2453,6336,11579
500,3546,15755,6755,1839,4799,6000,1187,15311,7076,5320
502,3466,2006,5327,4843,17983,9187,1064,15555,3194,2461
503,9951,4175,149,11869,13084,3443,6209,2073,12109,14783
504,3957,1143,5585,9655,8540,8186,218,339,12006,3344
505,5089,209,2006,2270,2761,1862,2303,6682,5324,7145
506,1126,13887,4498,3921,95,11960,3068,3749,9071,2923
507,14821,6769,7447,2927,16452,4055,15538,7866,7911,8407
509,14891,6452,13862,298,8326,14783,5539,11024,15331,16478
511,16443,736,11953,9951,5951,9463,11495,4070,322,4607
513,15748,3915,9893,14459,18079,5312,10094,17536,15774,15809
514,7292,8652,5769,297,13846,2262,1846,10001,14182,14544
515,4153,10344,1480,4365,14670,7481,756,4009,12166,8802
517,1822,17315,15075,10161,921,9529,14716,683,5236,4186
518,11284,14684,6209,11357,902,1194,8446,417,11012,2517
519,8397,12125,4531,5891,10028,4290,12111,8540,2339,2076
520,8021,1641,11869,5790,492,13899,17663,13273,16493,6353
522,10040,3948,6573,5377,7072,5300,6184,7841,6155,5373
524,6263,1282,2317,18230,907,971,1943,14073,4362,18408
526,8310,4868,18171,5864,3276,9698,8940,13051,7249,13519
527,18206,15198,686,18335,8843,16423,4067,3641,12147,5957
529,13993,15056,11654,15902,228,1667,290,8679,13720,1936
531,13924,6335,15029,8509,1406,4728,13440,1954,8780,13460
532,10065,9690,5169,9323,18248,14958,15808,820,11956,7477
533,8775,16429,7665,11302,8438,16190,9893,16610,4067,1064
536,3052,17460,1520,14873,3559,136,1529,6853,13081,10201
540,6242,489,597,13320,61,15645,1846,4709,15650,82
543,4711,8513,5693,11952,11101,3951,4350,10844,7638,8531
544,2522,9657,6821,9690,9466,10176,1519,16521,17679,2582
547,6769,7012,4150,3320,14042,17650,8657,18057,15193,1925
550,2722,7449,1931,15498,3456,2250,6045,18386,15365,3754
552,8790,4162,2748,8740,9938,10136,9891,4899,4006,9844
553,4153,7926,15557,1469,9206,4009,10033,3353,2212,14020
555,3545,9720,5957,11302,1862,15023,8843,3543,8013,4637
562,16826,14975,6990,18065,12109,5377,17716,8854,16169,8782
564,8030,4485,5977,1147,136,10797,10845,7025,102,10652
570,17588,2335,5300,13728,11106,9722,17261,8900,9399,14327
571,2910,9411,5501,8546,16596,11176,7197,8511,8347,9988
574,3224,13566,6105,3956,9112,6945,15775,5212,6708,2411
578,11472,3797,11181,191,11374,2335,9463,179,9942,3691
582,1271,3712,2143,7823,12024,10755,10033,7276,11025,2212
583,4245,14042,15696,14810,1769,12150,1529,13763,16615,3294
587,13391,756,10344,10033,10997,4153,14670,14958,5437,224
589,3560,1358,7098,4150,5174,8657,17588,3712,14722,10513
591,17827,5489,14361,17602,6859,18026,1237,5939,16478,3780
594,8255,8940,526,16815,4006,5089,7861,5864,14514,2676
596,18341,9178,4287,4307,11118,14720,7465,17839,7921,5657
597,61,2847,15195,811,1608,14311,4006,1862,15036,1846
598,2168,124,11699,3353,15423,2212,4602,12024,14020,14722
599,2390,11608,12068,14336,10965,10184,1643,10788,17519,5443
601,9199,11340,10639,11879,7675,3127,8255,4346,8813,1039
610,10228,14442,16327,8569,10017,16898,2597,6012,4711,13122
612,10520,294,13512,2658,6567,3233,14177,10652,3964,17679
613,6688,8371,17836,14769,13367,7694,14713,9757,6727,17960
614,2686,11237,2801,7895,9401,9338,12129,10047,841,1230
616,3221,8460,8284,17648,2221,2801,3817,5443,5977,8655
620,4365,3806,8851,1304,5169,1594,4153,1480,14415,16569
621,14873,1776,7861,8740,552,4225,2748,13509,16815,8940
622,8983,1617,8278,14732,6303,5089,3212,14177,9424,698
623,5329,6686,8906,1754,14385,12194,3124,16103,11793,927
625,14469,4114,12198,5623,7526,1343,4896,11392,5734,16453
629,18156,8231,8139,174,16269,4563,6882,10574,11201,6402
